item_id,product_id,purchase_status,shipping_status
1,1,FALSE,FALSE,
2,1,FALSE,FALSE,
3,1,FALSE,FALSE,
4,1,FALSE,FALSE,
5,1,FALSE,FALSE,
6,2,FALSE,FALSE,
7,2,FALSE,FALSE,
8,2,FALSE,FALSE,
9,2,FALSE,FALSE,
10,2,FALSE,FALSE,
11,2,FALSE,FALSE,
12,2,FALSE,FALSE,
13,2,FALSE,FALSE,
14,2,FALSE,FALSE,
15,3,FALSE,FALSE,
16,3,FALSE,FALSE,
17,3,FALSE,FALSE,
18,3,FALSE,FALSE,
19,3,FALSE,FALSE,
20,3,FALSE,FALSE,
21,4,FALSE,FALSE,
22,4,FALSE,FALSE,
23,4,FALSE,FALSE,
24,4,FALSE,FALSE,
25,5,FALSE,FALSE,
26,5,FALSE,FALSE,
27,5,FALSE,FALSE,
28,5,FALSE,FALSE,
29,6,FALSE,FALSE,
30,6,FALSE,FALSE,
31,7,FALSE,FALSE,
32,7,FALSE,FALSE,
33,7,FALSE,FALSE,
34,7,FALSE,FALSE,
35,8,FALSE,FALSE,
36,8,FALSE,FALSE,
37,9,TRUE,FALSE,
38,10,FALSE,FALSE,
39,10,FALSE,FALSE,
40,10,FALSE,FALSE,
41,10,FALSE,FALSE,
42,10,FALSE,FALSE,
43,10,FALSE,FALSE,
44,10,FALSE,FALSE,
45,10,FALSE,FALSE,
46,10,FALSE,FALSE,
47,10,FALSE,FALSE,
48,10,FALSE,FALSE
